ator_id	titulo_id	nome_personagem
nm2215143	tt12024308	Bea Johnson
nm1684869	tt12093878	Batman
nm0799777	tt1212454	Mr. Jones
nm1684869	tt1213669	Conan
nm0000206	tt1220888	Henry Torne
nm1684869	tt1223886	Major Richard Blake
nm0799777	tt1225822	Brian
nm3154303	tt1226837	Nic Sheff
nm1684869	tt12285906	AJ
nm3081796	tt12299608	Timo
nm1659221	tt1231587	Blaine
nm1684869	tt12496734	Simon Krieger
nm1659221	tt12573454	Max
nm2215143	tt12584954	Addy
nm1684869	tt12587880	Maw
nm0799777	tt12610390	Tom Brennan
nm3480246	tt12637874	Lucy MacLean
nm0799777	tt12724306	Ghat
nm4911194	tt12826940	Suzie
nm1102577	tt1291566	Melody
nm0604742	tt1291570	Joe Merriwether
nm1684869	tt1295906	Sol Badguy
nm0005342	tt1300851	Murphy MacManus
nm0005342	tt13056178	Daryl
nm0005342	tt13062500	Daryl Dixon
nm5301405	tt1312221	Elizabeth
nm1684869	tt1316431	Seth Walker
nm2581521	tt1318409	Jordan Gallagher
nm3528821	tt13269536	Marie Cody
nm1684869	tt13293212	Arthur
nm1684869	tt1333108	Alec Mason
nm0604742	tt1334102	Max
nm3480246	tt1334260	Young Ruth
nm1684869	tt13357140	Baki Hanma
nm1684869	tt13357140	Baki
nm0000206	tt1335975	Kai
nm0799777	tt13361448	Franklin
nm0799777	tt1340138	O'Brien
nm1659221	tt13403046	Steve
nm1684869	tt1344111	Additional Voices
nm4911194	tt13443470	Wednesday Addams
nm4911194	tt13443470	Goody Addams
nm3528821	tt13443470	Enid Sinclair
nm5301405	tt13560574	Maxine
nm5301405	tt13560574	Pearl
nm4911194	tt13560574	Lorraine
nm0604742	tt13603190	Police Chief
nm1684869	tt1363369	Van Kleiss
nm3081796	tt13650578	Bkofl
nm3081796	tt13650578	Desconhecido
nm3081796	tt1379164	Nathan Park
nm3081796	tt1379164	Wingspan
nm3081796	tt1379164	Concerned Citizen
nm1684869	tt13860172	Indiana Jones
nm0604742	tt1389127	Brian Heigh
nm1102577	tt1389137	Lily Miska
nm1659221	tt13957560	Vlad Tenev
nm2794962	tt1403865	Mattie Ross
nm1684869	tt14069590	Invoker
nm1684869	tt14069590	Hironimo
nm1684869	tt14069590	Herzog
nm0604742	tt14130104	LaSalle
nm1102577	tt1421051	Cleo
nm3528821	tt14227048	CC
nm1684869	tt14324650	Joker
nm1684869	tt14324650	Antoni
nm1659221	tt1433822	Ben
nm4911194	tt14371256	Klara
nm1684869	tt14402926	Joker
nm3081796	tt14403178	Danny Cho
nm2581521	tt1442109	Jones Mager
nm1684869	tt1446103	S.H.I.E.L.D. Soldier 2
nm1684869	tt1446103	A.I.M. Agent 2
nm1684869	tt1446103	Civilian 3
nm0799777	tt14547524	Coach James Lazor
nm0005342	tt1461249	Dennis Burrows
nm0799777	tt14636186	Ben
nm2215143	tt14636214	Jamie
nm0799777	tt14673560	Carl
nm1684869	tt1468321	Ryosuke
nm2581521	tt1493274	Hank Thompson
nm0799777	tt14948432	Nick
nm2215143	tt14948432	Gryla
nm0799777	tt1516002	Uncle Pal
nm0005342	tt1517249	Justin
nm0005342	tt1520211	Daryl Dixon
nm1684869	tt1520392	Yuri Lowell
nm1684869	tt15232496	The Narrator
nm3154303	tt15239678	Paul Atreides
nm2581521	tt15239678	Feyd-Rautha
nm0799777	tt15250704	Warren Duffy
nm1684869	tt15294688	'ECHO ONE'
nm1684869	tt15294688	Jack
nm0604742	tt15325794	James Conner
nm1869101	tt15326988	Sadie Rhodes
nm4911194	tt15374070	Skye Willow
nm1684869	tt15400198	Booker DeWitt
nm1684869	tt15414970	Samuel Drake
nm0799777	tt15451150	Wade
nm1684869	tt15452912	Additional Voices
nm0005342	tt15484726	Sam Porter Bridges
nm1684869	tt15484726	Higgs Monaghan
nm1684869	tt15671462	Erica Lindbeck
nm1684869	tt1568322	Robin
nm1684869	tt1568322	Two-Face
nm1684869	tt1568322	Harvey Dent
nm1684869	tt1569962	Jetfire
nm1684869	tt1569962	Zeta Prime
nm1684869	tt1569962	Additional Voices
nm0799777	tt15783426	Walter Boggs
nm1684869	tt1585560	Abaddon
nm1684869	tt1585560	Straga
nm1684869	tt1585560	Tortured Gate
nm1102577	tt1587310	Aurora
nm1684869	tt1587790	Gilboa Sant
nm1684869	tt1587790	Alec
nm1684869	tt1587790	Syam Vist
nm1684869	tt15881374	Desconhecido
nm0799777	tt1588878	James Newmans
nm2794962	tt16027014	Kate Bishop
nm2581521	tt1604589	Cody Beck
nm0799777	tt1613062	Henry Sawyer
nm1684869	tt1621984	30K
nm1684869	tt1621984	Additional Voices
nm1684869	tt1632479	Terrance Brooks
nm1684869	tt1632479	Additional Voices
nm3480246	tt1634121	Mia
nm1684869	tt16358708	John Jones
nm2794962	tt16360004	Gwen Stacy
nm2794962	tt16360004	Spider-Woman
nm0799777	tt1636691	White Knight
nm0799777	tt1636691	Cured Evo
nm0799777	tt1636691	Waiter
nm1684869	tt1636691	Van Kleiss
nm1684869	tt1636691	Biowulf
nm1684869	tt1636691	Additional Voices
nm0000206	tt16385248	Neo
nm0000206	tt16385248	Keanu Reeves
nm1684869	tt1640562	Additional Voices
nm1684869	tt1640622	Yoga Instructor
nm1684869	tt1641384	Brion Markov
nm1684869	tt1641384	Geo-Force
